polygon_id,place_id,is_primary
607,skvr_5260,1
608,skvr_5847,1
609,skvr_3980,1
610,skvr_3640,1
611,skvr_2960,1
612,skvr_5551,1
613,skvr_4850,1
615,skvr_4653,1
616,skvr_6085,1
617,erab_p95,1
618,skvr_4370,1
619,skvr_4860,1
620,skvr_3150,1
621,skvr_6312,1
622,erab_p34,1
623,erab_p71,1
624,erab_p72,1
625,skvr_914,1
626,skvr_4870,1
627,skvr_561,1
628,erab_p97,1
629,erab_p81,1
631,skvr_6285,1
633,erab_p100,1
634,erab_p19,1
635,skvr_114,1
636,skvr_5581,1
637,skvr_2910,1
638,skvr_3650,1
639,skvr_4261,1
639,skvr_4260,0
640,skvr_2390,1
640,skvr_2140,0
640,skvr_2190,0
641,skvr_6388,1
642,skvr_5261,1
644,skvr_610,1
645,skvr_6372,1
646,skvr_671,1
647,skvr_2472,1
648,skvr_3990,1
650,skvr_5996,1
651,skvr_4880,1
652,skvr_1030,1
653,skvr_2930,1
654,erab_p106,1
655,skvr_4070,1
656,skvr_471,1
657,skvr_6090,1
658,skvr_5270,1
659,skvr_5630,1
660,skvr_4160,1
661,skvr_3061,1
662,skvr_3771,1
662,skvr_5441,0
664,skvr_6555,1
665,skvr_5440,1
665,skvr_5450,0
666,skvr_4410,1
667,skvr_2460,1
668,skvr_4910,1
669,skvr_500,1
670,skvr_4000,1
671,erab_p8,1
672,skvr_4010,1
673,skvr_6352,1
674,skvr_4380,1
675,skvr_1040,1
676,skvr_2531,1
677,erab_p73,1
678,skvr_2470,1
679,erab_p48,1
680,skvr_4390,1
681,skvr_5687,1
682,skvr_3670,1
683,erab_p107,1
684,skvr_550,1
686,skvr_2410,1
686,skvr_2100,0
687,skvr_510,1
688,skvr_3680,1
690,skvr_520,1
692,skvr_6409,1
692,skvr_6407,0
693,skvr_3160,1
694,skvr_1050,1
695,skvr_5818,1
696,skvr_4890,1
697,skvr_530,1
698,skvr_3690,1
700,skvr_6356,1
701,skvr_6290,1
702,erab_p49,1
703,skvr_5280,1
704,skvr_2420,1
705,skvr_2950,1
706,skvr_4001,1
706,skvr_4002,0
707,skvr_3170,1
708,erab_p82,1
709,skvr_1060,1
710,skvr_1070,1
711,skvr_2480,1
712,skvr_4900,1
713,skvr_4020,1
714,skvr_1080,1
715,skvr_3500,1
716,skvr_5976,1
717,skvr_6295,1
718,skvr_6095,1
719,erab_p9,1
721,skvr_2940,1
721,skvr_2640,0
721,skvr_2680,0
722,skvr_5000,1
723,erab_p61,1
724,erab_p11,1
726,erab_p10,1
728,skvr_6100,1
729,erab_p98,1
731,skvr_4920,1
734,skvr_6105,1
735,skvr_4030,1
737,skvr_6341,1
739,skvr_4930,1
740,skvr_5011,1
741,skvr_5290,1
742,skvr_4040,1
743,skvr_540,1
744,skvr_3210,1
745,skvr_5980,1
746,skvr_1090,1
747,skvr_2821,1
748,skvr_4940,1
749,skvr_5471,1
750,skvr_5985,1
751,skvr_5300,1
759,erab_p94,1
760,skvr_6165,1
761,skvr_6195,1
765,skvr_6471,1
766,skvr_3720,1
775,skvr_4561,1
776,skvr_2430,1
776,skvr_2431,0
777,skvr_2500,1
777,skvr_2501,0
778,skvr_2530,1
779,skvr_4463,1
780,skvr_470,1
781,skvr_3450,1
782,skvr_4590,1
783,skvr_4650,1
784,skvr_4450,1
785,skvr_283,1
785,skvr_284,0
786,skvr_4841,1
787,skvr_3660,1
788,skvr_3220,1
789,skvr_4760,1
790,skvr_4440,1
794,skvr_2051,1
799,erab_p74,1
800,skvr_890,1
801,skvr_6535,1
802,skvr_6130,1
803,skvr_2710,1
804,skvr_6135,1
805,skvr_6525,1
806,skvr_6500,1
807,skvr_6510,1
808,skvr_6125,1
809,skvr_6495,1
812,skvr_6545,1
813,skvr_6515,1
816,skvr_6480,1
820,skvr_90,1
825,skvr_80,1
827,skvr_211,1
829,skvr_351,1
832,skvr_6360,1
833,skvr_381,1
835,skvr_6520,1
838,skvr_41,1
841,skvr_61,1
843,skvr_5916,1
854,skvr_3730,1
857,skvr_2240,1
862,skvr_6126,1
862,skvr_6127,0
863,skvr_6128,1
864,skvr_4490,1
865,skvr_591,1
866,erab_p99,1
867,skvr_3230,1
868,skvr_6260,1
869,skvr_2490,1
869,skvr_2850,0
870,erab_p21,1
871,skvr_2110,1
871,skvr_2111,0
872,skvr_640,1
873,erab_p1,1
874,erab_p63,1
875,erab_p22,1
876,skvr_2510,1
878,erab_c108,1
890,skvr_6560,1
891,skvr_6565,1
892,skvr_6570,1
893,skvr_6575,1
894,skvr_6580,1
895,skvr_6585,1
896,skvr_6590,1
897,skvr_6595,1
898,skvr_6600,1
900,skvr_6710,1
901,skvr_6715,1
902,skvr_6720,1
903,skvr_6725,1
904,skvr_6730,1
905,skvr_6735,1
906,skvr_6740,1
907,skvr_6745,1
908,skvr_6750,1
909,skvr_6755,1
910,skvr_6760,1
911,skvr_6765,1
912,skvr_6770,1
913,skvr_6775,1
915,skvr_6780,1
916,skvr_6785,1
917,skvr_6790,1
918,skvr_6795,1
919,skvr_6800,1
920,skvr_6805,1
921,skvr_6810,1
922,skvr_6815,1
923,skvr_6820,1
924,skvr_6825,1
925,skvr_6830,1
926,skvr_6835,1
927,skvr_6840,1
928,skvr_6845,1
962,skvr_5661,1
945,skvr_5675,1
944,skvr_5685,1
946,skvr_5690,1
952,skvr_5696,1
953,skvr_5700,1
957,skvr_5715,1
941,skvr_5720,1
956,skvr_5726,1
958,skvr_5730,1
948,skvr_5736,1
940,skvr_5741,1
955,skvr_5745,1
950,skvr_5760,1
954,skvr_5766,1
947,skvr_5775,1
960,skvr_5780,1
949,skvr_5791,1
942,skvr_5821,1
951,skvr_5850,1
943,skvr_5872,1
970, vldl_0100,1
